© 2000-2025 QIAGEN. All rights reserved.

Analysis Details for My Projects->Nasal_TB->blood5k_ipa - 2025-11-25 05:21 PM
Workspace	My Projects
Project	Nasal_TB
Analysis	blood5k_ipa - 2025-11-25 05:21 PM
Date	Tue Nov 25 14:21:55 PST 2025
Analysis ID	43056416

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Cutoff for Expression qvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Human) AND
(confidence = High (predicted) OR Experimentally Observed) AND
(tissues = Other T lymphocytes OR Activated CD56dim NK cells OR Bone marrow-derived dendritic cells OR Th17 cells OR Cytotoxic T cells OR Memory B cells OR Peripheral blood lymphocytes OR Activated CD56bright NK cells OR B lymphocytes not otherwise specified OR Effector memory cytotoxic T cells OR Other Monocyte-derived dendritic cells OR Effector memory RA+ cytotoxic T cells OR BDCA-1+ dendritic cells OR Dendritic cells not otherwise specified OR Myeloid dendritic cells OR Other Peripheral blood leukocytes OR PBMCs OR NK cells not otherwise specified OR Other NK cells OR Granulocytes not otherwise specified OR Other Dendritic cells OR Mature monocyte-derived dendritic cells OR Peripheral blood monocytes OR CD4+ T-lymphocytes OR Macrophages not otherwise specified OR Activated Vd1 Gamma-delta T cells OR Intraepithelial T lymphocytes OR Pro-B lymphocytes OR Monocyte-derived macrophage OR Mononuclear leukocytes not otherwise specified OR Other Granulocytes OR Plasma cells OR Plasmacytoid dendritic cells OR Immature monocyte-derived dendritic cells OR Other Memory T lymphocytes OR Immune cells not otherwise specified OR CD56bright NK cells OR Langerhans cells OR Central memory helper T cells OR Central memory cytotoxic T cells OR Other Mononuclear leukocytes OR Murine NKT cells OR Th2 cells OR Memory T lymphocytes not otherwise specified OR Naive B cells OR Neutrophils OR Other Macrophages OR Vd1 Gamma-delta T cells OR BDCA-3+ dendritic cells OR Activated Vd2 Gamma-delta T cells OR Effector T cells OR Eosinophils OR Vd2 Gamma-delta T cells OR CD56dim NK cells OR CD34+ cells OR Mast cells OR Peritoneal macrophages OR Naive helper T cells OR Lymphocytes not otherwise specified OR Monocytes not otherwise specified OR Effector memory helper T cells OR Activated helper T cells OR Other Monocytes OR T lymphocytes not otherwise specified OR Th1 cells OR Natural T-regulatory cells OR Bone marrow-derived macrophages OR Thymocytes OR Monocyte-derived dendritic cells not otherwise specified OR Peripheral blood leukocytes not otherwise specified OR Other Immune cells OR Other Lymphocytes OR Other B lymphocytes OR Pre-B lymphocytes OR Microglia)

Canonical Pathways for My Projects->Nasal_TB->blood5k_ipa - 2025-11-25 05:21 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Hematopoiesis from Multipotent Stem Cells	-0E00		8.33E-02	IL15	
Hematopoiesis from Pluripotent Stem Cells	-0E00		1.23E-02	FCER1G,LIF	
Heme Biosynthesis II	-0E00		1.11E-01	UROS	
Heparan Sulfate Biosynthesis	-0E00	-0.3779644730092272	1.29E-01	B3GALT6,CHST12,CHST15,DPH7,HS2ST1,HS3ST1,NDST1,TNFAIP6,XYLT1	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	0.4472135954999579	1.11E-01	CHST12,CHST15,DPH7,HS2ST1,HS3ST1,NDST1,TNFAIP6	
Histamine Degradation	-0E00		7.14E-02	ALDH1A2	
Histidine Degradation VI	-0E00		1.00E-01	COQ6,CYP4V2	
ICOS-ICOSL Signaling in T Helper Cells	-0E00	2.840187787218772	9.21E-02	AKT3,BAD,CHUK,FCER1G,GAB2,GRB2,HLA-B,ICOSLG,ITPR1,ITPR2,LCP2,NFAT5,NFKB1,NFKB2,NFKBIA,PIK3CB,PIK3R6,PPP3R1,RAC1,RELB,VAV1	
ID3 Signaling Pathway	-0E00	0.9428090415820635	5.18E-02	AKT3,ALPL,ANAPC5,BCL6,CD79A,CD79B,CDC16,CDKN1C,CYBB,EGF,FCER1G,FZR1,PTK2B,RAC1,RAC2,RALB,RAP2B,SMAD3,SOX2,TCF7L1	
IL-15 Signaling	-0E00	2.3570226039551585	8.73E-02	AKT3,IL15,IL15RA,IL5RA,JAK2,JAK3,MAP2K2,MAPK13,MAPK14,NFKB1,NFKB2,PIK3CB,PIK3R6,RAF1,RALB,RAP2B,RELB,STAT3,STAT5A,STAT5B	
IL-4 Signaling	-0E00	3.0532901344551737	1.09E-01	AKT3,ALOX15,ARG1,BATF,COL17A1,COL23A1,COL4A2,COL6A3,CREB5,CREBBP,FAS,FCER1G,GRB2,IL13RA1,IL4R,IRS2,JAK3,MAOA,MAPK13,MAPK14,MUC5AC,NFKB1,NFKB2,PIK3CB,PIK3R6,PTGDR2,RALB,RAP2B,SOCS1,SOS2,STAT3,TGM2	
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	-0E00	2.0816659994661326	1.20E-01	CD200,CD200R1,CD300A,CD300LD,CLEC2D,COL17A1,FCER1G,FCGR1A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,ICAM1,ITGA4,ITGB2,KLRB1,KLRF1,KLRG1,LAIR2,LILRA4,LILRA5,LILRA6,LILRB2,LILRB3,NCR3LG1,NECTIN2,OSCAR,PIANP,SELL,SFTPD,SH2D1B,SIGLEC11,SIGLEC8,SIGLEC9,SLAMF6,TREML1,TREML2,TREML4	
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	-0E00		9.09E-02	APP,VAPA	
Insulin processing	-0E00		1.20E-01	EXOC1,EXOC6,RAB27A	
Interconversion of nucleotide di- and triphosphates	-0E00	1.0	1.38E-01	AK2,AK4,GLRX,GSR	
Interleukin-17 signaling	-0E00		1.25E-01	IL17RA	
Intrinsic Prothrombin Activation Pathway	-0E00		7.69E-02	F8,PROC,PROS1	
Keratinization	-0E00	1.6329931618554523	4.62E-02	DSC2,FURIN,KAZN,PCSK6,PERP,SPINK9	
Ketone body metabolism	-0E00		1.00E-01	ACSS3	
Kinesins	-0E00	1.1338934190276817	1.15E-01	KIF1B,KIF22,KIF26B,KIF27,KLC3,TUBA1C,TUBA4A	
Kinetochore Metaphase Signaling Pathway	-0E00	-0.7071067811865475	1.21E-01	ANAPC5,BOD1,CDC16,CENPC,CENPL,CENPO,MXD3,NDC80,PPP1CB,PPP1CC,PPP1R10,STAG3	
LGI-ADAM interactions	-0E00		7.14E-02	CACNG8	
Late endosomal microautophagy	-0E00	2.0	1.18E-01	CHMP2B,PLIN3,TSG101,UBAP1	
Lipid Antigen Presentation by CD1	-0E00		1.45E-02	AP2B1,FCER1G	
MAPK6/MAPK4 signaling	-0E00	2.886751345948129	1.30E-01	AGO4,FOXO3,HSPB1,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6,RAC1	
MHC class II antigen presentation	-0E00	3.1529631254723287	1.34E-01	ACTR10,ACTR1B,AP1G1,AP1S3,AP2B1,ARF1,CTSA,CTSB,CTSD,IFI30,KIF22,KLC3,RAB7A,RILP,SEC24B,TUBA1C,TUBA4A	
Major pathway of rRNA processing in the nucleolus and cytosol	-0E00	-1.386750490563073	6.19E-02	BUD23,CSNK1D,ERI1,EXOSC5,EXOSC9,KRR1,MPHOSPH6,NOP14,PNO1,RIOK3,RRP9,UTP6,WDR36	
Maturation of TCA enzymes and regulation of TCA cycle	-0E00		5.00E-02	SDHAF3	
Mechanical load activates signaling by PIEZO1 and integrins in osteocytes	-0E00		5.88E-02	ITGB3	
Meiosis Initiation Signaling Pathway	-0E00	1.2649110640673518	1.09E-01	E2F3,E2F5,FBXL5,HORMAD1,IHO1,MAX,STAG3,SYCP2,TFDP1,XRN1	
Meiotic recombination	-0E00	-0.3779644730092272	8.43E-02	FIGNL1,H2BC15,H3-3B,H3C1,H3C6,NBN,RAD51C	
Meiotic synapsis	-0E00	1.3416407864998738	6.58E-02	H2BC15,LMNB1,STAG3,SYCP2,TERF2IP	
Melatonin Degradation I	-0E00		7.84E-02	CYP2J2,CYP2S1,POR,UGT2B11	
Melatonin Signaling	-0E00	1.889822365046136	1.27E-01	GNAQ,MAP2K2,MAP2K6,PLCD1,PLCL2,PRKAR2B,PRKCD,RAF1,SLC2A4	
Metabolism of amine-derived hormones	-0E00		1.18E-01	AANAT,DUOX1	
Metabolism of nitric oxide: NOS3 activation and regulation	-0E00		1.18E-01	CYGB,LYPLA1	
Metabolism of steroid hormones	-0E00		5.71E-02	STARD3,TSPO	
Methionine Degradation I (to Homocysteine)	-0E00		1.05E-01	EEF1AKMT3,MAT2A	
Methylglyoxal Degradation III	-0E00		5.00E-02	AKR1C3	
Mineralocorticoid Biosynthesis	-0E00		1.25E-01	HSD3B7	
Mismatch Repair	-0E00		6.67E-02	MSH2	
Mismatch Repair in Eukaryotes	-0E00		1.11E-01	FEN1,MSH2	
Mitochondrial RNA degradation	-0E00		4.35E-02	SUPV3L1	
Mitochondrial iron-sulfur cluster biogenesis	-0E00		7.69E-02	SLC25A37	
Mitochondrial protein degradation	-0E00	-1.1547005383792517	1.22E-01	ACOT2,APP,COX5A,FH,HADH,IDH3A,LDHD,MDH2,ME2,NDUFV1,PDK1,TIMM10	
Mitochondrial protein import	-0E00	-1.0	6.15E-02	LDHD,TIMM10,TIMM10B,VDAC1	
Mitochondrial translation	-0E00		9.35E-03	PTCD3	
Mitochondrial unfolded protein response (UPRmt)	-0E00		1.18E-01	FOXO3,SOD2	
Mitotic G2-G2/M phases	-0E00	2.6457513110645903	1.37E-01	CCNA1,CDC25B,CDC25C,CDK5RAP2,CDK7,CEP63,CSNK1D,E2F3,EP300,FZR1,HAUS4,LIN52,MZT2B,PPP1CB,PRKAR2B,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6,RBBP4,TP53,TUBA1C,TUBA4A,WEE1	
Mitotic Prometaphase	-0E00	0.20851441405707477	1.13E-01	B9D2,CDK5RAP2,CENPC,CENPL,CENPO,CEP63,CLIP1,CSNK1D,ERCC6L,HAUS4,MZT2B,NDC80,NDEL1,NUP133,NUP160,NUP37,NUP43,NUP98,PPP1CC,PRKAR2B,RCC2,TUBA1C,TUBA4A	
Mitotic Roles of Polo-Like Kinase	-0E00	0.8164965809277261	1.25E-01	ANAPC5,CDC16,CDC25B,CDC25C,FZR1,PLK3,SLK,WEE1	
Mitotic Telophase/Cytokinesis	-0E00		6.67E-02	NIPBL	
Myocardin Signaling Pathway	-0E00	-0.2773500981126146	1.17E-01	ACVR1B,AKT3,BMP3,BMP8B,EGF,FOXO3,HGF,NFKB1,PIK3CB,PIK3R6,ROCK1,SMAD3,TET2	
NAD Phosphorylation and Dephosphorylation	-0E00		1.00E-01	PXYLP1	
NAD Salvage Pathway II	-0E00		1.36E-01	NMNAT1,NT5C2,PXYLP1	
NAD biosynthesis II (from tryptophan)	-0E00		9.09E-02	NMNAT1	
NCAM signaling for neurite out-growth	-0E00	1.889822365046136	1.13E-01	CACNB4,COL4A2,COL6A3,GRB2,SPTA1,SPTB,SPTBN4	
NER (Nucleotide Excision Repair, Enhanced Pathway)	-0E00	0.6324555320336759	1.35E-01	CDK7,COPS8,EP300,HMGN1,POLE3,POLR2A,POLR2J,PRIM2,RAD23B,RBBP4,UVSSA,XPA	
NFKBIE Signaling Pathway	-0E00	1.1547005383792517	6.90E-02	CD70,CHUK,DYSF,FCER1G,MAP3K3,NFKB1,NFKB2,NFKBIA,PPP6R1,RELB,TNFRSF1A,TNFSF8	
NR1H2 and NR1H3-mediated signaling	-0E00	1.6329931618554523	1.28E-01	AGO4,CETP,EP300,FABP6,GPS2,TBL1X	
NUR77 Signaling in T Lymphocytes	-0E00	2.1105794120443453	8.37E-02	CABIN1,CYCS,EP300,FCER1G,HDAC9,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,KHDC1,MAP2K2,MAP3K3,MR1,PDK1,PPP3R1,PRKCD	
Neurexins and neuroligins	-0E00	0.8164965809277261	1.05E-01	CASK,DBNL,EPB41L5,NRXN1,NRXN3,SIPA1L1	
Neuropathic Pain Signaling in Dorsal Horn Neurons	-0E00	1.7320508075688774	1.20E-01	FOS,GRIN3A,GRINA,ITPR1,ITPR2,KCNH2,PIK3CB,PIK3R6,PLCD1,PLCL2,PRKAR2B,PRKCD	
Nicotinate metabolism	-0E00		6.90E-02	NAMPT,NMNAT1	
Nicotine Degradation II	-0E00		7.69E-02	CYP2J2,CYP2S1,POR,UGT2B11	
Nicotine Degradation III	-0E00		8.70E-02	CYP2J2,CYP2S1,POR,UGT2B11	
NoRC negatively regulates rRNA expression	-0E00	0.8320502943378437	1.27E-01	ARID4B,BAZ2A,CDK7,H2BC15,H3-3B,H3C1,H3C6,POLR1D,POLR1E,POLR1F,SAP30L,SUDS3,TAF1B	
Nonhomologous End-Joining (NHEJ)	-0E00	1.3416407864998738	7.69E-02	BABAM2,H2BC15,NBN,TDP2,UIMC1	
Nonsense-Mediated Decay (NMD)	-0E00	1.3416407864998738	4.31E-02	CASC3,EIF4G1,ETF1,SMG7,UPF3A	
Nuclear RNA decay	-0E00	0.0	1.14E-01	EXOSC5,EXOSC9,MPHOSPH6,ZC3H3	
Nucleosome assembly	-0E00	-1.6329931618554523	8.57E-02	CENPC,CENPL,CENPO,H2BC15,RBBP4,RBBP7	
Nucleotide Excision Repair	-0E00	0.9045340337332909	1.02E-01	CDK7,COPS8,ELL,PIAS1,POLE3,POLR2A,POLR2J,PPIE,RAD23B,UVSSA,XPA	
OX40 Signaling Pathway	-0E00	1.0	5.92E-02	FCER1G,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,NFKB1,NFKB2,NFKBIA,RELB	
Oleate Biosynthesis II (Animals)	-0E00		1.11E-01	ALDH6A1	
Olfactory Signaling Pathway	-0E00		5.71E-02	ADCY3,CNGB1	
Oxidative Phosphorylation	-0E00	-1.0	9.80E-02	ATP5MC3,COX15,COX5A,COX6C,CYCS,NDUFA8,NDUFS8,NDUFV1,UQCRFS1,VPS9D1	
Oxytocin in Spinal Neurons Signaling Pathway	-0E00		9.38E-02	CAMKK1,GUCY1B1,GUCY2C	
PCP (Planar Cell Polarity) Pathway	-0E00	1.1338934190276817	1.36E-01	CELSR1,FZD1,FZD5,JUNB,RAC1,ROCK1,WNT10A,WNT6	
PI3K Signaling in B Lymphocytes	-0E00	2.4140393963016744	1.17E-01	AKT3,ATF1,ATF6,BLK,BLNK,CD180,CD79A,CD79B,CHUK,DAPP1,FOS,FOXO3,IL4R,IRS2,ITPR1,ITPR2,LYN,MAP2K2,NFAT5,NFKB1,NFKB2,NFKBIA,PIK3AP1,PIK3CB,PLCD1,PLCL2,PPP3R1,RAC1,RAF1,RALB,RAP2B,RELB,TLR4,VAV1	
PKCθ Signaling in T Lymphocytes	-0E00	3.5777087639996634	1.01E-01	CACNA1A,CACNA1E,CACNA2D3,CACNB4,CACNG8,CHUK,FCER1G,FOS,GRB2,HLA-B,ITPR1,ITPR2,LCP2,MAP3K3,NFAT5,NFKB1,NFKB2,NFKBIA,PIK3CB,PIK3R6,PPP3R1,RAC1,RAC2,RALB,RAP2B,RELB,SOS2,VAV1	
PRC2 methylates histones and DNA	-0E00	-1.1338934190276817	1.00E-01	H2BC15,H3-3B,H3C1,H3C6,PHF19,RBBP4,RBBP7	
PXR/RXR Activation	-0E00	0.8164965809277261	9.84E-02	ABCB11,ABCC2,AKT3,NR1I3,PPARA,PRKAR2B	
Paracetamol ADME	-0E00		7.14E-02	ABCC2,CNDP2	
Peroxisomal lipid metabolism	-0E00	-1.0	1.38E-01	ACOX1,CROT,EHHADH,SCP2	
Phase II - Conjugation of compounds	-0E00	0.5773502691896258	1.20E-01	ABHD10,ACSM1,CNDP2,GSTK1,GSTO1,GSTO2,MAT2A,OPLAH,TPST1,UGDH,UGP2,UGT2B11	
Phenylalanine and tyrosine metabolism	-0E00		9.09E-02	HPD	
Phospholipase C Signaling	-0E00	2.7221786146864813	1.16E-01	ADCY3,ADCY4,AHNAK,ARHGEF9,BLNK,CD79A,CD79B,CREB5,CREBBP,EP300,FCER1G,FCGR2A,GNAQ,GNG10,GNG7,GRB2,GUCY1B1,HDAC4,HDAC9,ITGA2B,ITGA4,ITGA7,ITGA9,ITGAD,ITGAM,ITGAX,ITGB2,ITGB3,ITGB4,ITGB5,ITPR1,ITPR2,LCP2,LYN,MAP2K2,MARCKS,MEF2A,MEF2B,MYL5,MYL9,NAPEPLD,NFAT5,NFKB1,NFKB2,PLA2G2F,PLA2G4A,PLCD1,PLD4,PLD6,PPP1CB,PPP1CC,PPP3R1,PRKCD,RAC1,RAC2,RAF1,RALB,RAP2B,RAPGEF3,RELB,RHOT1,SOS2,TGM2	
Phototransduction Pathway	-0E00	0.0	1.20E-01	CNGB1,GNAT2,GUCY1B1,GUCY2C,PRKAR2B,RCVRN	
Plasma lipoprotein assembly, remodeling, and clearance	-0E00	2.4494897427831783	8.00E-02	AP2B1,APOA2,CETP,FURIN,LCAT,PCSK6	
Post-translational modification: synthesis of GPI-anchored proteins	-0E00	-0.30151134457776363	1.24E-01	ALPL,CD52,LYPD2,NRN1,PIGH,PIGU,PLAUR,PSCA,VNN1,VNN2,XPNPEP2	
Primary Immunodeficiency Signaling	-0E00		9.80E-02	BLNK,CD79A,JAK3,TAP1,TAP2	
Processing and activation of SUMO	-0E00		9.09E-02	SUMO4	
Processing of Capped Intron-Containing Pre-mRNA	-0E00	-0.34299717028501764	1.21E-01	CASC3,CPSF2,CWC25,DDX39A,DHX8,LSM2,LSM5,NUP133,NUP160,NUP188,NUP210,NUP37,NUP43,NUP54,NUP58,NUP93,NUP98,PCBP1,PDCD7,POLR2A,POLR2J,PPIE,PPP1R8,SDE2,SLBP,SNRNP35,SNRPD1,SNRPE,SRSF10,SRSF7,TFIP11,THOC5,ZMAT2,ZMAT5	
Processing of Capped Intronless Pre-mRNA	-0E00		1.03E-01	CPSF2,SLBP,SNRPE	
Processing of SMDT1	-0E00		6.25E-02	MCU	
Protein methylation	-0E00		1.18E-01	EEF2KMT,VCPKMT	
Purine Nucleotides De Novo Biosynthesis II	-0E00		9.09E-02	PPAT	
Purine Nucleotides Degradation II (Aerobic)	-0E00		5.00E-02	NT5C2	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	-0E00		5.00E-02	AK4	
RAS processing	-0E00		4.35E-02	LYPLA1	
RHO GTPases Activate Rhotekin and Rhophilins	-0E00		1.11E-01	RTKN	
RNA Polymerase II Transcription	-0E00	2.5	1.09E-01	CASC3,CDK7,CPSF2,CTDP1,DDX39A,ELL,IWS1,MLLT1,PAF1,POLR2A,POLR2J,SLBP,SNRPE,SRSF7,TAF10,THOC5	
RNA Polymerase III Transcription	-0E00	-1.0	9.76E-02	GTF3C4,POLR1D,POLR3K,SNAPC3	
Regulation of CDH11 Expression and Function	-0E00		6.90E-02	AGO4,CTNNA1	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	3.771236166328254	8.96E-02	CHUK,FCER1G,FOS,GRB2,MAP2K2,NFAT5,NFKB1,NFKB2,NFKBIA,PPP3R1,RAC1,RAF1,RALB,RAP2B,RELB,SMAD3,SOS2,VAV1	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	-0E00	3.0	1.30E-01	APLP2,APOA2,APOL1,APP,C4A,CKAP4,DNAJC3,FAM20A,IGFBP4,LTBP1,NUCB1,PROC,PRSS23,QSOX1,SERPINA1,TGOLN2	
Regulation of TP53 Activity through Phosphorylation	-0E00	0.9045340337332909	1.18E-01	CCNA1,DYRK2,MAPK14,NBN,PLK3,PRKAB2,PRKAG3,RAD1,RMI2,TAF10,TP53	
Regulation of TP53 Expression and Degradation	-0E00	-1.0	1.05E-01	AKT3,CCNA1,SGK1,TP53	
Regulation of cholesterol biosynthesis by SREBP (SREBF)	-0E00		1.33E-01	KPNB1,SEC24B	
Regulation of endogenous retroelements	-0E00	-0.7745966692414834	1.08E-01	BCL7A,CHD4,GATAD2A,H2BC15,H3-3B,H3C1,H3C6,RBBP4,RBBP7,SETDB1,SMARCD3,ZNF141,ZNF320,ZNF649,ZNF816	
Regulation of mitotic cell cycle	-0E00	1.7320508075688774	1.36E-01	ANAPC5,CCNA1,CDC16,FZR1,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6	
Replacement of protamines by nucleosomes in the male pronucleus	-0E00		7.69E-02	H2BC15,H3-3B,SRPK1	
Resolution of Abasic Sites (AP sites)	-0E00	-1.0	1.05E-01	FEN1,POLB,POLE3,TDG	
Respiratory electron transport	-0E00	-1.889822365046136	7.87E-02	COX5A,COX6C,CYCS,NDUFA8,NDUFS8,NDUFV1,UQCRFS1	
Response of EIF2AK4 (GCN2) to amino acid deficiency	-0E00	0.4472135954999579	4.31E-02	CEBPB,CEBPG,EIF2B1,TSG101,UBAP1	
Retinoic acid Mediated Apoptosis Signaling	-0E00	0.4472135954999579	9.62E-02	CFLAR,CYCS,IFNAR1,IFNK,IRF1	
Retinoid metabolism and transport	-0E00	1.0	9.09E-02	AKR1C3,APOA2,LRP10,RETSAT	
Retinol Biosynthesis	-0E00		9.76E-02	AKR1C3,CEL,DHRS9,RDH10	
Reversible hydration of carbon dioxide	-0E00		8.33E-02	CA2	
Ribosomal Quality Control Signaling Pathway	-0E00	2.840187787218772	7.61E-02	AGO4,EXOSC5,EXOSC9,NPLOC4,PELO,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6,UFD1,XRN1	
Role of CHK Proteins in Cell Cycle Checkpoint Control	-0E00	-0.8164965809277261	1.03E-01	CDC25C,E2F3,E2F5,NBN,RAD1,TP53	
Role of Cytokines in Mediating Communication between Immune Cells	-0E00		8.70E-02	IL15,IL24,IL27,IL32	
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	-0E00		1.33E-01	IFNAR1,IFNK	
Role of NFAT in Regulation of the Immune Response	-0E00	3.307475463158259	9.31E-02	AKT3,BLNK,CABIN1,CD79A,CD79B,CHUK,CSNK1A1,CSNK1D,FCER1G,FCGR1A,FCGR2A,FOS,GNA12,GNA15,GNAQ,GNAT2,GNG10,GNG7,GRB2,GSK3B,HLA-B,ITPR1,ITPR2,KPNA2,KPNB1,LCP2,LYN,MAP2K2,MEF2A,MEF2B,NFAT5,NFKB1,NFKB2,NFKBIA,PIK3CB,PIK3R6,PPP3R1,RAF1,RALB,RAP2B,RELB,SOS2,TNPO1	
Role of p14/p19ARF in Tumor Suppression	-0E00	-1.0	1.38E-01	PIK3CB,PIK3R6,RAC1,TP53	
SAPK/JNK Signaling	-0E00	2.523573072576179	8.81E-02	CRK,CRKL,DUSP8,FCER1G,GADD45A,GNA12,GNG10,GNG7,GRB2,MAP3K20,MAP3K3,MAP4K4,PIK3CB,PIK3R6,RAC1,RAC2,RALB,RAP2B,SOS2,TP53	
SIRT1 negatively regulates rRNA expression	-0E00	-0.8164965809277261	9.38E-02	H2BC15,H3-3B,H3C1,H3C6,RRP8,TAF1B	
SLAMF Signaling Pathway	-0E00	2.1908902300206643	7.46E-02	AKT3,AP2B1,CD2,CD48,CD79A,CD79B,CYBB,FCER1G,FOS,FYB1,GRB2,IL15,JAK2,JAK3,LCP2,NFAT5,NFKB1,NFKB2,PIK3CB,PIK3R6,RALB,RAP2B,SH2D1B,SLAMF6,SLAMF8,STAT5A,STAT5B,TP53,UVRAG,VAV1	
SPINK1 Pancreatic Cancer Pathway	-0E00	-1.3416407864998738	9.62E-02	CPD,CTSA,CTSB,F2RL1,SMAD3	
SRP-dependent cotranslational protein targeting to membrane	-0E00	-1.0	2.86E-02	SEC61A2,SRP68,SRPRB,TRAM1	
SUMOylation of intracellular receptors	-0E00	1.0	1.38E-01	HDAC4,PIAS1,PPARA,VDR	
SUMOylation of transcription factors	-0E00		1.00E-01	PIAS1,TP53	
SWI/SNF chromatin remodelers	-0E00		9.68E-02	BCL7A,BICRA,SMARCD3	
Selenoamino acid metabolism	-0E00	0.8164965809277261	4.14E-02	CBS,EEFSEC,GSR,MARS1,PSTK,SEPHS2	
Senescence-Associated Secretory Phenotype (SASP)	-0E00	1.1547005383792517	1.11E-01	ANAPC5,CCNA1,CDC16,CEBPB,FOS,FZR1,H2BC15,H3-3B,H3C1,H3C6,NFKB1,STAT3	
Sensory perception of taste	-0E00		7.89E-02	KCNJ2,SCN1B,SCN9A	
Serine metabolism	-0E00		9.09E-02	SERINC2	
Serotonin Degradation	-0E00	1.3416407864998738	1.07E-01	ADH5,ALDH1A2,DHRS9,MAOA,MAOB,UGT2B11	
Signaling by Activin	-0E00		1.05E-01	ACVR1B,SMAD3	
Signaling by BMP	-0E00		6.45E-02	UBE2D3,ZFYVE16	
Signaling by ERBB2	-0E00	0.8164965809277261	1.20E-01	AKT3,EGF,ERBB2,GRB2,PRKCD,PTPN12	
Signaling by FGFR1	-0E00		6.12E-02	ANOS1,GRB2,MKNK1	
Signaling by FGFR2	-0E00	1.3416407864998738	7.14E-02	FGFR2,GRB2,MKNK1,POLR2A,POLR2J	
Signaling by FGFR3	-0E00		7.69E-02	FGFR3,GRB2,MKNK1	
Signaling by FGFR4	-0E00		5.13E-02	GRB2,MKNK1	
Signaling by NTRK2 (TRKB)	-0E00		8.00E-02	GRB2,RAC1	
Signaling by ROBO receptors	-0E00	2.8284271247461903	7.38E-02	ABL2,CASC3,EIF4G1,ETF1,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6,RAC1,SOS2,SRGAP1,SRGAP3,UPF3A,ZSWIM8	
Sleep NREM Signaling Pathway	-0E00	-2.4961508830135313	1.33E-01	ADCY3,ADCY4,CREB5,CREBBP,GUCY1B1,HDAC4,MAP2K2,MAP2K6,PER2,PRKAR2B,RAF1,RALB,RAP2B,SIK3,YWHAQ	
Sleep REM Signaling Pathway	-0E00	2.82842712474619	1.38E-01	CFL2,CREB5,CREBBP,FOS,GADD45B,LIMK1,MKNK1,PRKAR2B	
Specification of the neural plate border	-0E00		1.25E-01	SOX2,TCF7L1	
Spliceosomal Cycle	-0E00	1.0	7.69E-02	CASC3,CWC25,DHX8,PPIE	
Stress Granule Signaling Pathway	-0E00	-2.334868926348074	1.36E-01	AKT3,CD274,CREBBP,DDX3X,DYRK3,EIF2AK1,EIF2AK3,EIF2B1,EIF3I,EIF4E3,EIF4G1,EIF4G3,ELP5,EP300,GADD45B,GSK3B,HDAC4,HDAC9,HSPA6,IRS2,MAP2K6,MAPK13,MAPK14,NFKB1,NFKB2,PIK3CB,PIK3R6,TNFRSF1A,TP53,TRIM21,TSG101,UBAP1,ULK1	
Striated Muscle Contraction	-0E00	2.0	1.14E-01	MYBPC3,TCAP,TMOD3,TNNT3	
Sucrose Degradation V (Mammalian)	-0E00		1.25E-01	ALDOA	
Superpathway of Cholesterol Biosynthesis	-0E00		7.14E-02	FDFT1,LBR	
Superpathway of Citrulline Metabolism	-0E00		6.25E-02	ARG1	
Superpathway of Melatonin Degradation	-0E00	0.4472135954999579	1.07E-01	CYP2J2,CYP2S1,MAOA,MAOB,POR,UGT2B11	
Superpathway of Methionine Degradation	-0E00		1.21E-01	CBS,EEF1AKMT3,GOT2,MAT2A	
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	-0E00		1.33E-01	AKR1C3,TBXAS1	
Synthesis, secretion, and deacylation of Ghrelin	-0E00		5.26E-02	GHRL	
